enemy_distance,enemy_bearing,enemy_velocity,my_energy,enemy_energy,wall_distance,wall_bearing,turn_rate,move_distance,fire_power
628.7616367831938,-89.36913734621133,8.0,76.60000000000005,82.0,194.7487924414853,61.27454820212225,0.6308626537886681,-60.0,1.0
335.3385967575778,-86.70835310448201,0.0,76.60000000000005,93.20000000000005,195.23903178970647,60.64368554833358,3.291646895517985,-60.0,2.0
632.8957884517902,-89.28675705976872,8.0,76.60000000000005,82.0,195.23903178970647,60.64368554833358,0.7132429402312823,-60.0,1.0
335.43452006097914,-87.08031863803296,0.0,76.60000000000005,92.60000000000005,196.24113377150536,59.9304426081023,2.9196813619670365,-60.0,2.0
637.1273578267163,-89.20617972332691,8.0,76.60000000000005,82.0,196.24113377150536,59.9304426081023,0.7938202766730882,-60.0,1.0
335.5591966143929,-87.36224317653284,0.0,76.60000000000005,92.00000000000006,197.78011183862304,59.136622331429216,2.637756823467157,-60.0,2.0
641.4663454874344,-89.12744003891572,8.0,76.60000000000005,82.0,197.78011183862304,59.136622331429216,0.8725599610842778,-60.0,1.0
335.70621970153206,-87.55242145200218,0.0,76.60000000000005,89.40000000000006,199.88413264619498,58.264062370344945,2.4475785479978214,-60.0,2.0
645.9222067735075,-89.05057589987474,8.0,76.60000000000005,77.58785088918856,199.88413264619498,58.264062370344945,0.9494241001252561,-60.0,1.0
335.8741363854922,-87.6491703681001,0.0,76.60000000000005,88.80000000000007,202.58425918926787,57.31463827021968,2.3508296318998987,-60.0,2.0
650.503818061241,-88.97562710391477,8.0,76.60000000000005,77.58785088918856,202.58425918926787,57.31463827021968,1.0243728960852252,-60.0,1.0
336.0665665818404,-87.65082681494249,0.0,76.60000000000005,94.20000000000007,205.9141738062882,56.29026537413446,2.3491731850575093,-60.0,2.0
655.2194429835452,-88.9026340988316,8.0,76.60000000000005,75.58785088918856,205.9141738062882,56.29026537413446,1.097365901168402,-60.0,1.0
336.0665665818404,-88.74819271611089,0.0,75.40000000000006,93.60000000000008,205.9141738062882,55.19289947296605,1.2518072838891072,-60.0,2.0
659.971074832134,-89.43923095568289,8.0,75.40000000000006,75.58785088918856,205.9141738062882,55.19289947296605,0.5607690443171123,-60.0,1.0
336.0898999928647,-88.57775561075418,0.0,75.40000000000006,93.00000000000009,206.4849891326204,55.19289947296605,1.4222443892458188,-60.0,2.0
374.05868562060783,-85.87224128150082,0.0,75.40000000000006,58.00000000000008,206.4849891326204,55.19289947296605,4.12775871849918,-60.0,2.0
664.8052027506191,-88.80036298444378,8.0,75.40000000000006,87.58785088918856,206.4849891326204,55.19289947296605,1.1996370155562204,-60.0,1.0
336.10362094521736,-89.43645202566692,0.0,75.40000000000006,92.40000000000009,207.660749897418,53.993262457409834,0.5635479743330762,-60.0,2.0
374.16618317222924,-86.76601823391536,0.0,75.40000000000006,57.40000000000008,207.660749897418,53.993262457409834,3.2339817660846393,-60.0,2.0
668.284115651695,-89.40723637546539,6.0,75.40000000000006,87.58785088918856,207.660749897418,53.993262457409834,0.5927636245346122,-60.0,1.0
336.10362094521736,-90.02921565020154,0.0,74.80000000000007,91.8000000000001,207.660749897418,53.40049883287522,-0.029215650201535937,-60.0,2.0
374.16618317222924,-87.35878185844994,0.0,74.80000000000007,46.800000000000075,207.660749897418,53.40049883287522,2.6412181415500555,-60.0,2.0
670.6211998222883,-89.7221670687371,4.0,74.80000000000007,87.58785088918856,207.660749897418,53.40049883287522,0.27783293126290687,-60.0,1.0
336.1045986709857,-89.85874533583052,0.0,74.80000000000007,91.2000000000001,208.25696778281042,53.40049883287522,0.1412546641694803,-60.0,2.0
374.2135981006506,-87.20583450115568,0.0,74.80000000000007,46.200000000000074,208.25696778281042,53.40049883287522,2.794165498844322,-60.0,2.0
671.8036294549378,-89.49869285167576,2.0,74.80000000000007,87.58785088918856,208.25696778281042,53.40049883287522,0.5013071483242442,-60.0,1.0
336.1045986709857,-90.36005248415478,0.0,72.20000000000007,90.60000000000011,208.25696778281042,52.89919168455098,-0.3600524841547781,-60.0,2.0
374.2135981006506,-87.70714164947991,0.0,72.20000000000007,42.60000000000007,208.25696778281042,52.89919168455098,2.292858350520092,-60.0,2.0
